,volatile_acidity,free_sulfur_dioxide,total_sulfur_dioxide,pH,alcohol
632,0.41,21.0,43.0,3.32,10.5
633,0.935,11.0,86.0,3.43,11.3
634,0.35,46.0,102.0,3.27,9.5
635,0.84,24.0,33.0,3.27,9.7
636,0.88,30.0,147.0,3.24,9.4
637,0.885,31.0,145.0,3.24,9.4
638,0.915,7.0,23.0,3.35,10.2
639,0.29,25.0,57.0,3.18,10.3
640,0.54,16.0,40.0,3.39,9.4
641,0.59,21.0,68.0,3.46,9.5
642,0.54,16.0,40.0,3.39,9.4
643,0.59,21.0,68.0,3.46,9.5
644,0.54,16.0,40.0,3.39,9.4
645,0.64,5.0,11.0,3.37,10.1
646,0.67,6.0,20.0,3.4,10.1
647,0.845,5.0,14.0,3.32,11.0
648,0.48,10.0,28.0,3.33,11.2
649,0.42,24.0,148.0,3.16,11.3
650,0.43,8.0,32.0,2.89,9.6
651,0.88,35.0,155.0,3.41,11.2
652,0.36,22.0,71.0,2.98,14.9
653,0.33,9.0,30.0,3.12,12.0
654,0.47,7.0,29.0,3.08,9.5
655,0.55,20.0,53.0,3.14,9.4
656,0.43,8.0,32.0,2.89,9.6
657,0.5,23.0,42.0,2.92,10.5
658,0.52,5.0,20.0,3.32,9.6
659,0.84,5.0,13.0,3.41,11.0
660,0.52,5.0,20.0,3.32,9.6
661,0.42,15.0,42.0,3.31,9.0
662,0.57,9.0,27.0,3.36,9.6
663,0.28,5.0,13.0,3.04,10.2
664,0.4,15.0,54.0,3.03,10.2
665,0.59,25.0,48.0,3.14,9.7
666,0.49,6.0,16.0,3.18,9.5
667,0.34,6.0,15.0,2.94,9.2
668,0.73,15.0,31.0,3.15,11.0
669,0.34,6.0,15.0,2.94,9.2
670,0.4,30.0,45.0,3.26,10.0
671,0.73,5.0,13.0,3.2,9.5
672,1.24,32.0,151.0,3.15,9.5
673,0.73,5.0,13.0,3.2,9.5
674,0.4,7.0,17.0,3.08,9.3
675,0.41,12.0,31.0,3.26,10.2
676,0.4,7.0,17.0,3.08,9.3
677,0.8,12.0,31.0,3.4,9.9
678,0.78,45.0,87.0,3.48,10.0
679,0.26,20.0,49.0,3.13,9.6
680,0.43,15.0,40.0,3.06,9.0
681,0.45,16.0,29.0,3.21,10.2
682,0.46,32.0,58.0,3.33,9.8
683,0.78,5.0,15.0,3.37,11.3
684,0.98,35.0,152.0,3.25,9.4
685,0.78,5.0,15.0,3.37,11.3
686,0.65,13.0,40.0,3.44,9.1
687,0.64,13.0,38.0,3.28,9.7
688,0.66,4.0,9.0,3.4,9.4
689,0.38,5.0,17.0,3.3,9.4
690,1.185,5.0,14.0,3.63,10.7
691,0.92,12.0,93.0,3.48,9.8
692,0.49,16.0,62.0,3.03,9.0
693,0.48,21.0,122.0,3.32,9.4
694,0.47,24.0,125.0,3.31,9.4
695,0.47,18.0,44.0,3.9,12.8
696,0.65,8.0,25.0,3.47,9.5
697,0.65,8.0,25.0,3.47,9.5
698,0.615,18.0,72.0,3.31,9.7
699,0.38,5.0,19.0,3.11,10.8
700,1.02,26.0,88.0,3.08,10.1
701,0.65,8.0,25.0,3.47,9.5
702,0.64,9.0,23.0,3.47,9.4
703,0.38,22.0,84.0,3.32,9.6
704,0.765,4.0,14.0,3.29,9.7
705,1.035,11.0,54.0,3.37,9.9
706,0.78,10.0,19.0,3.4,10.0
707,0.49,16.0,37.0,3.37,10.5
708,0.545,11.0,35.0,3.34,11.6
709,0.31,13.0,33.0,3.27,10.0
710,1.025,21.0,84.0,3.06,10.1
711,0.565,16.0,112.0,3.38,9.5
712,0.69,13.0,33.0,3.36,9.4
713,0.43,10.0,48.0,3.34,9.4
714,0.74,21.0,77.0,3.28,9.8
715,0.49,13.0,34.0,3.29,9.2
716,0.43,10.0,48.0,3.34,9.4
717,0.46,12.0,49.0,3.21,10.0
718,0.56,10.0,22.0,3.22,9.6
719,0.66,17.0,45.0,3.46,9.5
720,0.56,10.0,22.0,3.22,9.6
721,0.48,35.0,106.0,3.1,9.2
722,0.42,15.0,48.0,3.21,10.0
723,0.31,36.0,127.0,2.94,9.5
724,1.115,5.0,12.0,3.54,11.2
725,0.66,5.0,13.0,3.29,10.4
726,0.72,18.0,49.0,3.43,11.1
727,0.57,4.0,11.0,3.46,9.5
728,0.57,4.0,11.0,3.46,9.5
729,0.865,27.0,58.0,3.61,12.7
730,0.55,12.0,37.0,3.17,9.6
731,0.875,4.0,14.0,3.44,11.5
732,0.835,10.0,19.0,3.39,9.6
733,0.45,16.0,72.0,3.55,9.5
734,0.56,9.0,39.0,3.48,9.3
735,0.965,11.0,22.0,3.26,9.5
736,0.965,11.0,22.0,3.26,9.5
737,0.59,19.0,58.0,3.5,9.3
738,0.46,28.0,104.0,3.1,9.2
739,0.69,19.0,38.0,3.35,9.3
740,0.76,12.0,16.0,3.45,11.5
741,0.53,28.0,139.0,3.21,9.5
742,0.615,9.0,18.0,3.46,9.2
743,0.41,25.0,101.0,3.13,10.0
744,0.39,21.0,101.0,3.13,9.5
745,0.51,12.0,28.0,3.52,9.5
746,0.34,12.0,57.0,3.3,9.0
747,0.33,16.0,68.0,3.3,9.4
748,0.5,12.0,31.0,3.52,9.6
749,0.51,12.0,28.0,3.52,9.5
750,0.65,17.0,40.0,3.29,9.5
751,0.65,17.0,40.0,3.29,9.5
752,0.54,24.0,66.0,3.39,9.4
753,0.65,17.0,40.0,3.29,9.5
754,0.48,14.0,32.0,3.09,9.1
755,0.91,22.0,47.0,3.51,10.7
756,0.98,15.0,33.0,3.6,11.2
757,0.87,10.0,31.0,3.25,9.8
758,0.87,10.0,31.0,3.25,9.8
759,0.42,33.0,88.0,3.19,9.2
760,0.58,9.0,104.0,3.23,9.7
761,0.655,5.0,35.0,3.25,9.6
762,0.7,8.0,19.0,3.31,10.0
763,0.655,5.0,35.0,3.25,9.6
764,0.68,11.0,44.0,3.31,9.5
765,0.67,12.0,48.0,3.31,9.5
766,0.59,12.0,74.0,3.14,9.4
767,0.6,13.0,98.0,3.45,9.5
768,0.59,24.0,94.0,3.55,9.7
769,0.72,7.0,32.0,3.39,9.6
770,0.59,24.0,94.0,3.55,9.7
771,0.685,23.0,143.0,3.28,9.4
772,0.57,23.0,144.0,3.27,9.4
773,0.4,1.0,44.0,3.3,9.5
774,0.4,2.0,45.0,3.31,9.5
775,1.0,7.0,16.0,3.43,10.0
776,0.765,5.5,48.0,3.4,10.3
777,0.635,6.0,18.0,3.4,10.3
778,0.43,7.0,34.0,3.36,10.5
779,0.52,21.0,92.0,3.5,9.8
780,0.57,12.0,45.0,3.31,9.4
781,0.46,9.0,37.0,3.66,9.8
782,0.82,26.0,96.0,3.36,10.0
783,0.46,9.0,37.0,3.66,9.8
784,0.59,20.0,85.0,3.55,9.8
785,0.35,11.0,61.0,3.21,9.5
786,0.35,11.0,61.0,3.21,9.5
787,0.56,19.0,58.0,3.18,10.1
788,0.56,19.0,58.0,3.18,10.1
789,0.63,21.0,119.0,3.09,9.3
790,0.37,18.0,82.0,3.33,9.7
791,0.64,25.0,130.0,3.23,9.6
792,0.61,17.0,87.0,3.48,9.7
793,0.6,7.0,13.0,3.38,10.8
794,0.27,7.0,26.0,3.17,12.5
795,0.89,7.0,60.0,2.99,10.2
796,0.46,24.0,64.0,3.1,9.6
797,0.37,21.0,42.0,3.24,10.8
798,0.5,5.0,14.0,3.29,10.7
799,0.5,5.0,14.0,3.29,10.7
800,0.61,26.0,108.0,3.25,9.4
801,0.55,8.0,17.0,3.23,10.0
802,0.585,14.0,86.0,3.56,12.9
803,0.56,14.0,46.0,3.24,9.6
804,0.52,4.0,18.0,3.26,9.9
805,0.28,4.0,10.0,3.33,12.8
806,0.25,4.0,10.0,3.27,12.5
807,0.28,4.0,10.0,3.33,12.8
808,0.53,4.0,12.0,3.26,9.2
809,0.48,4.0,15.0,3.22,10.3
810,0.49,4.0,14.0,3.3,10.5
811,0.5,7.0,24.0,3.09,10.9
812,0.45,20.0,38.0,3.24,10.8
813,0.39,4.0,7.0,3.44,11.4
814,0.41,19.0,41.0,3.21,11.3
815,0.45,20.0,38.0,3.24,10.8
816,0.51,8.0,30.0,3.23,10.5
817,0.29,19.0,27.0,3.28,11.9
818,0.715,21.0,47.0,3.29,9.4
819,0.66,9.0,59.0,3.28,9.6
820,0.685,9.0,22.0,3.34,9.7
821,0.42,16.0,42.0,3.71,14.0
822,0.54,15.0,36.0,3.61,9.8
823,0.54,15.0,36.0,3.61,9.8
824,0.48,6.0,16.0,3.24,10.3
825,0.46,15.0,37.0,3.36,10.7
826,0.27,4.0,8.0,3.4,11.0
827,0.46,15.0,37.0,3.36,10.7
828,0.57,34.0,45.0,3.46,12.7
829,0.61,16.0,24.0,3.56,11.1
830,0.685,5.0,9.0,3.38,10.9
831,0.61,16.0,24.0,3.56,11.1
832,0.44,34.0,48.0,3.38,9.9
833,0.47,36.0,51.0,3.38,9.9
834,0.685,16.0,23.0,3.32,9.4
835,0.665,27.0,55.0,3.39,9.3
836,0.28,36.0,100.0,3.26,11.7
837,0.28,36.0,100.0,3.26,11.7
838,0.31,9.0,28.0,3.24,11.2
839,0.5,13.0,26.0,3.46,10.0
840,0.42,9.0,34.0,3.24,12.1
841,0.66,21.0,31.0,3.45,10.3
842,0.5,34.0,68.0,3.23,10.9
843,0.685,9.0,92.0,3.28,9.4
844,0.25,26.0,42.0,3.18,10.6
845,0.64,14.0,31.0,3.59,9.8
846,0.64,14.0,31.0,3.59,9.8
847,0.68,12.0,39.0,3.5,9.9
848,0.64,14.0,31.0,3.59,9.8
849,0.63,12.0,32.0,3.58,9.8
850,0.43,9.0,22.0,3.28,9.5
851,0.43,9.0,22.0,3.28,9.5
852,0.42,26.0,122.0,3.22,9.7
853,0.36,41.0,55.0,3.47,10.9
854,0.36,41.0,55.0,3.47,10.9
855,0.735,10.0,14.0,3.51,11.7
856,0.36,41.0,55.0,3.47,10.9
857,0.26,16.0,47.0,3.4,11.3
858,0.28,17.0,32.0,3.15,10.6
859,0.56,15.0,24.0,3.4,11.2
860,0.62,15.0,85.0,3.51,9.5
861,1.01,15.0,88.0,3.66,11.5
862,0.42,7.0,25.0,3.24,10.4
863,0.62,17.0,84.0,3.51,9.7
864,0.62,15.0,85.0,3.51,9.5
865,0.635,16.0,86.0,3.51,9.7
866,0.49,13.0,24.0,3.41,11.3
867,0.51,13.0,22.0,3.4,11.2
868,0.56,15.0,24.0,3.4,11.2
869,0.63,27.0,43.0,3.44,10.9
870,0.715,31.0,43.0,3.41,11.8
871,0.56,36.0,46.0,3.53,10.6
872,0.35,28.0,48.0,3.43,10.0
873,0.21,6.0,10.0,3.23,11.1
874,0.38,6.0,10.0,3.12,11.8
875,0.31,7.0,16.0,3.31,11.8
876,0.47,7.0,14.0,3.4,10.9
877,0.715,31.0,43.0,3.41,11.8
878,0.61,30.0,69.0,3.22,10.0
879,0.6,18.0,88.0,3.53,9.5
880,0.56,10.0,21.0,3.15,9.9
881,0.715,30.0,35.0,3.48,11.4
882,0.31,14.0,26.0,3.22,12.0
883,0.6,18.0,88.0,3.53,9.5
884,0.61,30.0,69.0,3.22,10.0
885,0.75,9.0,30.0,3.34,10.5
886,0.8,8.0,28.0,3.33,10.4
887,0.52,29.0,56.0,3.15,12.1
888,0.57,32.0,64.0,3.43,11.2
889,0.9,23.0,99.0,3.22,9.3
890,0.34,30.0,52.0,3.44,10.1
891,0.66,16.0,86.0,3.53,9.7
892,0.45,10.0,18.0,3.22,9.3
893,0.66,16.0,86.0,3.53,9.7
894,0.63,17.0,88.0,3.53,9.8
895,0.59,27.0,43.0,3.42,10.7
896,0.31,17.0,43.0,3.31,12.5
897,0.59,27.0,43.0,3.42,10.7
898,0.31,17.0,43.0,3.31,12.5
899,1.02,6.0,11.0,3.48,11.0
900,0.31,10.0,39.0,3.4,11.8
901,0.635,16.0,33.0,3.58,10.8
902,0.635,16.0,33.0,3.58,10.8
903,0.59,11.0,18.0,3.41,10.8
904,0.59,11.0,18.0,3.41,10.8
905,0.58,15.0,115.0,3.23,9.5
906,0.54,12.0,78.0,3.39,11.0
907,0.56,6.0,9.0,3.59,11.5
908,0.52,34.0,61.0,3.43,10.8
909,0.305,7.0,11.0,3.29,11.5
910,0.38,3.0,11.0,3.23,13.2
911,0.28,3.0,9.0,3.18,10.9
912,0.46,4.0,8.0,3.33,12.2
913,0.395,3.0,10.0,3.27,12.2
914,0.305,7.0,11.0,3.29,11.5
915,0.315,3.0,6.0,3.27,11.9
916,0.715,7.0,62.0,3.62,11.0
917,0.41,26.0,45.0,3.38,10.1
918,0.36,32.0,79.0,3.3,11.0
919,0.62,38.0,46.0,3.38,11.8
920,0.41,10.0,23.0,3.24,10.5
921,0.36,32.0,79.0,3.3,11.0
922,0.62,38.0,46.0,3.38,11.8
923,0.41,26.0,45.0,3.38,10.1
924,0.47,14.0,28.0,3.18,11.2
925,0.22,53.0,77.0,3.47,11.0
926,0.24,52.0,73.0,3.47,10.2
927,0.67,11.0,75.0,3.2,9.2
928,0.47,14.0,28.0,3.18,11.2
929,0.33,10.0,19.0,3.3,12.0
930,0.61,8.0,25.0,3.69,10.5
931,0.61,13.0,38.0,3.48,9.8
932,0.4,29.0,66.0,3.45,9.5
933,0.61,13.0,38.0,3.48,9.8
934,0.61,8.0,25.0,3.69,10.5
935,0.3,19.0,72.0,3.39,11.8
936,0.3,19.0,72.0,3.39,11.8
937,0.63,6.0,26.0,3.07,10.4
938,0.38,23.0,42.0,3.34,12.9
939,0.46,7.0,11.0,3.61,11.4
940,0.33,13.0,25.0,3.36,12.4
941,0.27,9.0,17.0,3.19,12.5
942,0.43,13.0,52.0,3.22,10.0
943,0.5,10.0,45.0,3.24,9.7
944,0.3,11.0,24.0,3.27,12.1
945,0.44,7.0,20.0,3.14,11.1
946,0.44,11.0,24.0,3.29,12.0
947,0.28,6.0,12.0,3.26,12.4
948,0.12,10.0,21.0,3.41,11.9
949,0.12,10.0,21.0,3.41,11.9
950,0.12,10.0,21.0,3.41,11.9
951,0.28,6.0,12.0,3.26,12.4
952,0.31,6.0,10.0,3.31,11.2
953,0.34,5.0,9.0,3.2,12.1
954,0.43,6.0,11.0,3.44,12.2
955,0.21,9.0,23.0,3.36,10.4
956,0.36,5.0,10.0,3.31,11.3
957,0.37,12.0,51.0,3.29,11.1
958,0.57,25.0,36.0,3.47,11.3
959,0.59,12.0,32.0,3.36,10.0
960,0.47,18.0,38.0,3.16,11.1
961,0.56,7.0,18.0,3.27,9.3
962,0.57,6.0,16.0,3.38,9.5
963,0.27,20.0,27.0,3.15,11.2
964,0.47,18.0,38.0,3.16,11.1
965,0.34,24.0,48.0,3.34,11.0
966,0.38,6.0,10.0,3.13,11.9
967,0.66,23.0,113.0,3.13,9.2
968,0.4,29.0,46.0,3.2,12.2
969,0.56,7.0,22.0,3.46,10.2
970,0.26,6.0,10.0,3.33,10.9
971,0.26,6.0,10.0,3.33,10.9
972,0.38,6.0,13.0,3.22,11.6
973,0.34,6.0,12.0,3.52,10.7
974,0.33,7.0,13.0,3.3,12.1
975,0.41,35.0,72.0,3.44,9.4
976,0.41,35.0,72.0,3.44,9.4
977,0.59,31.0,119.0,3.15,9.1
978,0.4,9.0,29.0,3.28,11.3
979,0.45,3.0,6.0,3.13,10.4
980,0.5,8.0,17.0,3.32,10.5
981,0.86,13.0,28.0,3.25,10.0
982,0.52,51.0,70.0,3.34,12.9
983,0.5,8.0,17.0,3.32,10.5
984,0.45,3.0,6.0,3.13,10.4
985,0.58,7.0,11.0,3.45,11.3
986,0.34,3.0,7.0,3.19,11.4
987,0.36,35.0,70.0,3.44,9.4
988,0.39,19.0,27.0,3.16,9.4
989,0.295,14.0,21.0,3.14,10.9
990,0.39,19.0,27.0,3.16,9.4
991,0.34,31.0,68.0,3.45,9.4
992,0.4,30.0,47.0,3.36,9.4
993,0.34,31.0,68.0,3.45,9.4
994,0.35,20.0,88.0,3.15,9.4
995,0.6,19.0,41.0,3.39,10.1
996,0.66,3.0,11.0,3.71,12.8
997,0.66,3.0,11.0,3.71,12.8
998,0.84,4.0,10.0,3.12,9.1
999,0.69,7.0,12.0,3.47,12.9
1000,0.43,6.0,12.0,3.44,11.5
1001,0.35,31.0,47.0,3.26,10.6
1002,0.29,13.0,27.0,3.26,11.7
1003,0.36,4.0,8.0,3.36,12.8
1004,0.43,27.0,45.0,3.25,10.3
1005,0.36,4.0,8.0,3.36,12.8
1006,0.29,13.0,27.0,3.26,11.7
1007,0.3,12.0,25.0,3.26,11.7
1008,0.35,12.0,24.0,3.23,12.0
1009,0.5,26.0,55.0,3.18,10.9
1010,0.28,7.0,12.0,3.25,12.3
1011,0.32,12.0,19.0,3.17,10.4
1012,1.005,11.0,32.0,3.23,10.0
1013,0.71,22.0,31.0,3.38,10.0
1014,0.58,3.0,7.0,3.22,11.2
1015,0.39,14.0,27.0,3.06,11.4
1016,0.38,12.0,28.0,3.27,12.6
1017,0.18,36.0,109.0,2.89,12.7
1018,0.18,36.0,109.0,2.89,12.7
1019,0.5,10.0,23.0,3.53,10.4
1020,0.36,3.0,8.0,3.2,11.9
1021,0.36,3.0,8.0,3.2,11.9
1022,0.51,4.0,9.0,3.35,10.5
1023,0.32,3.0,9.0,3.27,12.3
1024,0.58,12.0,18.0,3.32,10.5
1025,0.83,17.0,43.0,3.33,10.4
1026,0.31,14.0,36.0,3.41,12.6
1027,0.795,28.0,52.0,3.49,11.6
1028,0.34,41.0,68.0,3.37,10.1
1029,0.58,12.0,18.0,3.32,10.5
1030,0.59,9.0,14.0,3.42,11.5
1031,0.55,9.0,15.0,3.35,11.0
1032,0.82,5.0,14.0,3.36,9.6
1033,0.57,14.0,27.0,3.3,10.4
1034,0.745,15.0,48.0,3.2,9.7
1035,0.37,5.0,17.0,3.17,10.6
1036,0.31,26.0,35.0,3.22,12.5
1037,0.91,20.0,56.0,3.35,9.2
1038,0.41,25.0,42.0,3.24,12.6
1039,0.5,21.0,39.0,3.33,11.1
1040,0.965,16.0,32.0,3.58,10.2
1041,0.49,13.0,26.0,3.38,9.8
1042,0.5,21.0,39.0,3.33,11.1
1043,0.39,18.0,39.0,3.29,10.9
1044,0.39,12.0,53.0,3.36,12.2
1045,0.44,32.0,38.0,3.32,11.4
1046,0.78,33.0,45.0,3.31,10.7
1047,0.43,27.0,51.0,3.49,10.4
1048,0.49,3.0,14.0,3.27,10.9
1049,0.5,6.0,17.0,3.27,10.8
1050,0.43,27.0,51.0,3.49,10.4
1051,0.46,16.0,45.0,3.03,9.2
1052,0.605,19.0,25.0,3.56,12.9
1053,0.33,9.0,20.0,3.38,12.7
1054,0.64,5.0,77.0,3.13,9.1
1055,0.64,5.0,77.0,3.13,9.1
1056,0.48,3.0,10.0,3.21,12.1
1057,0.42,28.0,90.0,3.15,9.1
1058,0.53,30.0,52.0,3.19,11.6
1059,0.48,3.0,10.0,3.21,12.1
1060,0.23,3.0,8.0,3.14,9.9
1061,0.4,7.0,16.0,3.21,12.5
1062,0.38,6.0,15.0,3.3,11.4
1063,0.29,6.0,17.0,3.22,11.8
1064,0.74,5.0,10.0,3.28,11.8
1065,0.61,6.0,20.0,3.29,10.2
1066,0.52,13.0,26.0,3.4,12.5
1067,0.31,3.0,10.0,3.02,10.9
1068,0.31,3.0,10.0,3.02,10.9
1069,0.62,28.0,52.0,3.31,10.8
1070,0.33,19.0,37.0,3.18,11.1
1071,0.77,30.0,92.0,3.2,9.2
1072,0.35,33.0,75.0,3.4,9.5
1073,0.62,16.0,37.0,3.31,10.7
1074,0.77,30.0,92.0,3.2,9.2
1075,0.25,45.0,67.0,3.44,10.2
1076,0.32,3.0,8.0,3.15,11.4
1077,0.37,3.0,8.0,3.27,11.0
1078,0.37,3.0,8.0,3.27,11.0
1079,0.3,37.5,278.0,3.01,12.3
1080,0.27,3.0,8.0,3.16,11.8
1081,0.3,37.5,289.0,3.01,12.3
1082,0.38,31.0,70.0,3.42,9.5
1083,0.42,32.0,59.0,3.33,12.0
1084,0.38,31.0,70.0,3.42,9.5
1085,0.48,40.0,64.0,3.12,9.6
1086,0.34,3.0,9.0,3.38,11.6
1087,0.19,18.0,30.0,3.29,11.2
1088,0.41,22.0,41.0,3.02,9.9
1089,0.41,22.0,41.0,3.02,9.9
1090,0.26,42.0,74.0,2.98,11.8
1091,0.34,8.0,19.0,3.35,11.4
1092,0.54,10.0,16.0,3.43,11.5
1093,0.31,11.0,31.0,3.33,12.0
1094,0.725,9.0,17.0,3.35,10.8
1095,0.4,6.0,20.0,3.15,10.5
1096,0.725,9.0,17.0,3.35,10.8
1097,0.52,5.0,18.0,3.2,9.4
1098,0.31,5.0,16.0,3.15,12.5
1099,0.52,5.0,18.0,3.2,9.4
1100,0.34,23.0,36.0,3.11,12.4
1101,0.49,14.0,25.0,3.35,12.0
1102,0.48,18.0,30.0,3.45,11.2
1103,0.49,14.0,25.0,3.35,12.0
1104,0.48,16.0,25.0,3.28,12.4
1105,0.57,13.0,49.0,3.41,12.8
1106,0.23,9.0,17.0,3.21,12.3
1107,0.3,10.0,24.0,3.27,11.7
1108,0.78,4.0,13.0,3.36,9.5
1109,0.47,27.0,66.0,3.17,10.8
1110,0.53,6.0,14.0,3.25,10.0
1111,0.42,23.0,55.0,3.78,12.3
1112,0.33,6.0,35.0,3.29,11.0
1113,0.24,3.0,10.0,3.12,9.5
1114,0.4,29.0,80.0,3.49,13.6
1115,0.69,15.0,21.0,3.38,11.3
1116,0.69,15.0,21.0,3.38,11.3
1117,0.69,15.0,21.0,3.38,11.3
1118,0.39,14.0,24.0,3.3,13.3
1119,0.66,7.0,15.0,3.52,12.9
1120,0.54,8.0,17.0,3.2,13.1
1121,0.5,21.0,28.0,3.44,12.3
1122,0.47,27.0,33.0,3.45,12.3
1123,0.4,17.0,29.0,3.12,11.2
1124,0.58,3.0,13.0,3.62,11.5
1125,0.24,13.0,27.0,3.14,11.3
1126,0.29,3.0,11.0,3.39,13.5
1127,0.76,26.0,52.0,3.51,11.5
1128,0.43,28.0,89.0,3.22,10.0
1129,0.43,24.0,70.0,3.21,10.5
1130,0.6,5.0,10.0,3.18,10.4
1131,0.19,57.0,135.0,3.32,9.5
1132,0.36,18.0,38.0,3.38,13.6
1133,0.48,10.0,18.0,3.37,11.2
1134,0.28,6.0,15.0,3.3,11.8
1135,0.25,22.0,50.0,3.38,11.9
1136,0.52,6.0,13.0,3.22,11.4
1137,0.52,6.0,13.0,3.22,11.4
1138,0.41,29.0,94.0,3.14,9.1
1139,0.51,16.0,86.0,3.34,9.5
1140,0.4,33.0,79.0,3.41,9.5
1141,0.38,24.0,71.0,3.27,11.0
1142,0.45,6.0,12.0,3.3,11.4
1143,0.22,16.0,20.0,3.61,10.0
1144,0.32,35.0,70.0,3.43,10.1
1145,0.2,31.0,51.0,3.53,10.4
1146,0.5,6.0,21.0,3.28,9.8
1147,0.41,6.0,14.0,3.21,11.8
1148,0.39,9.0,21.0,3.39,11.6
1149,0.35,6.0,11.0,3.23,12.0
1150,0.33,4.0,12.0,3.3,12.8
1151,0.58,16.0,70.0,3.46,12.5
1152,0.6,9.0,38.0,3.15,9.8
1153,0.42,17.0,38.0,3.23,11.1
1154,0.58,50.0,63.0,3.59,11.4
1155,0.6,9.0,38.0,3.15,9.8
1156,0.18,45.0,88.0,3.33,11.8
1157,0.51,16.0,101.0,3.46,12.9
1158,0.41,22.0,54.0,3.42,10.6
1159,0.41,11.0,37.0,3.16,10.8
1160,0.36,6.0,20.0,3.14,11.1
1161,0.45,12.0,21.0,3.21,10.2
1162,0.32,12.0,19.0,3.14,11.8
1163,0.785,10.0,21.0,3.29,10.0
1164,0.785,10.0,21.0,3.29,10.0
1165,0.44,15.0,38.0,3.01,9.4
1166,0.54,7.0,60.0,2.94,10.2
1167,0.33,29.0,48.0,3.32,12.4
1168,0.34,8.0,44.0,3.21,12.0
1169,0.5,5.0,14.0,3.32,11.5
1170,0.36,5.0,12.0,3.2,10.5
1171,0.59,26.0,44.0,3.42,10.8
1172,0.42,5.0,16.0,3.27,12.3
1173,0.36,26.0,65.0,3.46,9.5
1174,0.36,26.0,65.0,3.46,9.5
1175,0.61,48.0,59.0,3.61,11.5
1176,0.88,23.0,47.0,3.58,11.2
1177,0.66,6.0,11.0,3.35,12.7
1178,0.915,17.0,78.0,3.68,11.4
1179,0.35,11.0,47.0,3.27,11.0
1180,0.35,11.0,47.0,3.27,11.0
1181,0.39,5.0,11.0,3.19,11.4
1182,0.4,41.0,54.0,3.38,10.5
1183,0.66,16.0,61.0,3.29,9.3
1184,0.64,11.0,119.0,3.36,10.9
1185,0.43,6.0,39.0,3.33,11.9
1186,0.8,6.0,12.0,3.52,12.2
1187,0.43,6.0,39.0,3.33,11.9
1188,0.64,11.0,119.0,3.36,10.9
1189,0.955,5.0,19.0,3.3,9.6
1190,0.4,6.0,20.0,3.28,12.5
1191,0.885,6.0,12.0,3.56,10.8
1192,0.25,11.0,41.0,3.52,12.4
1193,0.885,6.0,12.0,3.56,10.8
1194,0.745,15.0,64.0,3.22,9.5
1195,0.43,21.0,56.0,3.52,9.5
1196,0.58,23.0,94.0,3.21,9.5
1197,0.57,4.0,9.0,3.16,9.8
1198,0.26,19.0,77.0,3.15,10.9
1199,0.58,23.0,94.0,3.21,9.5
1200,0.57,4.0,9.0,3.16,9.8
1201,0.34,5.0,10.0,3.27,11.2
1202,0.42,6.0,12.0,3.35,11.7
1203,0.74,33.0,76.0,3.14,9.4
1204,0.36,24.0,44.0,3.4,11.0
1205,0.36,24.0,44.0,3.4,11.0
1206,0.36,24.0,44.0,3.4,11.0
1207,0.72,24.0,52.0,3.35,10.0
1208,0.36,24.0,44.0,3.4,11.0
1209,0.39,14.0,24.0,3.45,11.2
1210,0.65,8.0,15.0,3.35,10.4
1211,0.44,22.0,53.0,3.32,9.3
1212,0.65,8.0,15.0,3.35,10.4
1213,0.38,5.0,13.0,3.15,10.5
1214,0.33,6.0,9.0,3.1,10.4
1215,0.27,20.0,29.0,3.26,11.3
1216,0.57,10.0,79.0,3.29,9.5
1217,0.34,43.0,74.0,3.23,12.0
1218,0.4,8.0,24.0,3.24,10.6
1219,0.39,25.0,50.0,3.2,10.9
1220,0.32,17.0,44.0,3.28,11.5
1221,0.32,17.0,44.0,3.28,11.5
1222,0.53,33.0,89.0,3.26,9.6
1223,0.36,9.0,23.0,3.23,12.0
1224,0.39,8.0,20.0,3.07,10.3
1225,0.46,18.0,77.0,3.15,9.4
1226,0.58,27.0,46.0,3.02,9.2
1227,0.58,8.0,21.0,3.27,9.6
1228,0.42,18.0,88.0,3.68,13.6
1229,0.43,19.0,66.0,3.4,9.5
1230,0.18,15.0,58.0,3.37,11.8
1231,0.815,48.0,90.0,3.38,10.8
1232,0.43,19.0,66.0,3.4,9.5
1233,0.23,14.0,36.0,3.23,9.3
1234,0.75,11.0,18.0,3.39,12.8
1235,0.33,6.0,113.0,3.3,11.5
1236,0.55,7.0,17.0,3.26,9.4
1237,0.75,11.0,18.0,3.39,12.8
1238,0.73,12.0,24.0,3.38,9.6
1239,0.67,11.0,20.0,3.45,11.8
1240,0.61,36.0,60.0,3.1,9.3
1241,0.37,28.0,65.0,3.16,9.8
1242,0.4,15.0,40.0,3.22,12.2
1243,0.56,10.0,86.0,3.37,9.5
1244,0.29,72.0,160.0,3.33,10.3
1245,0.55,15.0,34.0,3.49,10.5
1246,0.74,15.0,48.0,3.12,10.0
1247,0.55,15.0,34.0,3.49,10.5
1248,0.41,22.0,36.0,3.41,11.1
1249,0.6,24.0,37.0,3.4,10.9
1250,0.6,24.0,37.0,3.4,10.9
1251,0.58,27.0,60.0,3.28,9.8
1252,0.72,6.0,14.0,3.45,9.8
1253,0.66,6.0,13.0,3.43,9.5
